JobTitle,About,Skills,WhoCanApply,OtherReq,Salary
Medical Retina Specialist,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 12,00,000 - 20,00,000 /year"
OPD Ophthalmologist Consultant - Fresher,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 12,00,000 - 19,20,000 /year"
Data Scientist - Fresher,"Are you a talented Data Scientist with expertise in Python, Natural Language Processing (NLP), Deep Learning, Artificial Intelligence, SQL, Data Analytics, Machine Learning, and Data Science? If so, Axe Consultancy And Security Services LLC is looking for you to join our dynamic team!

Key Responsibilities:
1. Utilize your skills in Python and SQL to analyze large datasets and extract valuable insights for our clients.
2. Develop and implement cutting-edge machine learning algorithms and models to solve complex business problems.
3. Apply your expertise in Natural Language Processing (NLP) to extract meaningful information from unstructured text data.
4. Collaborate with cross-functional teams to design and deploy AI solutions that drive business growth and innovation.
5. Conduct in-depth data analysis to identify trends, patterns, and opportunities for optimization.
6. Stay current on industry trends and advancements in Data Science to continuously improve our services.
7. Communicate findings and recommendations to stakeholders in a clear and concise manner to drive informed decision-making.

If you are passionate about leveraging data to drive strategic business decisions and thrive in a fast-paced, collaborative environment, we want to hear from you! Join us at Axe Consultancy And Security Services LLC and make a meaningful impact with your expertise in Data Science.",NULL,NULL,NULL,"Annual CTC: ₹ 12,00,000 - 18,00,000 /year"
SAP BI/BW Tester,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 12,00,000 - 18,00,000 /year"
Ophthalmologist,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 12,00,000 - 18,00,000 /year"
Internal Auditor-CA(Ahmedabad),NULL,NULL,NULL,NULL,", expected salary and notice period.

Who can apply

Only those candidates can apply who:

1. have minimum 4 years of experience

Salary

Annual CTC: ₹ 12,00,000 - 18,00,000 /year"
Data Engineer (Microsoft Fabric & Lakehouse),NULL,NULL,NULL,NULL,"Annual CTC: ₹ 12,00,000 - 18,00,000 /year"
Hiring: Anesthesiologist - Fresher,NULL,NULL,NULL,NULL,"Up to 1.5 Lakh Per Month

Shift
Rotational

Opportunity
Full-time

Qualification
MBBS + MD/DNB in Anesthesiology
Valid medical registration
The ideal candidate will possess strong interpersonal skills and an ability to collaborate effectively with other healthcare professionals to ensure the best outcomes for patients. The role involves assessing patients' medical histories and allergies, devising appropriate anesthetic plans, and monitoring patients throughout surgical procedures. Candidates should have a keen eye for detail, be highly attentive, and possess the ability to remain calm under pressure. Continual learning and staying updated with advancements in anesthesiology practices is expected.

Contact
Regards, HR Gayatri
82808 33507
Salary

Annual CTC: ₹ 12,00,000 - 18,00,000 /year"
SAP PS CONSULTANT,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 12,00,000 - 18,00,000 /year"
Data Engineer (Microsoft Fabric & Lakehouse),NULL,NULL,NULL,NULL,"Annual CTC: ₹ 12,00,000 - 18,00,000 /year"
Senior Data Modeler,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 12,00,000 - 18,00,000 /year"
Supply Chain Manager - Beverages,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 12,00,000 - 18,00,000 /year"
Data Integration & Modeling Specialist,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 12,00,000 - 18,00,000 /year"
Planning Engineers Oil & Gas,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 12,00,000 - 18,00,000 /year"
Well Operations Oil & Gas,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 12,00,000 - 18,00,000 /year"
Full-Stack Node React Developer With AWS,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 12,00,000 - 16,00,000 /year"
Project Manager - Pharma Indusry,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 12,00,000 - 16,00,000 /year"
Purchase Specialist - Senior Executive/ Manager,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 12,00,000 - 16,00,000 /year"
Company Secretary,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 12,00,000 - 15,00,000 /year"
Research And Development @ Wada,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 12,00,000 - 15,00,000 /year"
Finance Manager,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 12,00,000 - 15,00,000 /year"
Sales Lead Commercial Spaces,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 12,00,000 - 15,00,000 /year"
Principal With Seth MR Jaipuria School Khalilabad Campus,"The role of Principal for School is pivotal in shaping the educational landscape and fostering a culture of excellence within the institution. This position not only leads the academic and administrative functions but also plays a crucial role in the holistic development of students and staff. The Principal will collaborate with various stakeholders to drive innovation and growth opportunities, ensuring that the school remains at the forefront of educational practices.As a Principal, you will be responsible for:Leading the development and implementation of academic programs that promote effective learning and student engagement.Fostering a collaborative environment among staff, students, and parents to enhance the educational experience.Utilizing People Management Skills to build a strong, motivated team focused on achieving the school's vision.Implementing Activity-Based Learning strategies to make education more interactive and impactful.Overseeing the administration of school operations, ensuring compliance with educational standards and regulations.Driving initiatives in Artificial Intelligence and Adaptive Management to modernize teaching methodologies.Promoting cultural leadership that respects diversity and encourages inclusivity within the school community.Engaging in cross-functional collaboration with other educational institutions and organizations to share best practices.Evaluating academic performance and implementing strategies for continuous improvement.Championing innovative pedagogical approaches that cater to the diverse learning needs of students.To excel in this role, candidates should possess the following qualifications and skills:Proven experience in effective leadership and business leadership within an educational setting.Strong background in Holistic Development principles and practices.Expertise in Administration and Academics, with a focus on student outcomes.Demonstrated ability in cross-functional collaboration and cultural leadership.Knowledge of Activity-Based Learning techniques and their application in the classroom.Familiarity with Artificial Intelligence tools and their integration into educational practices.Solid understanding of Pedagogy and its evolution in contemporary education.Exceptional communication and interpersonal skills to engage with diverse stakeholders.Ability to adapt management strategies to meet the evolving needs of the school community.Commitment to professional development and continuous learning in educational leadership.","Adaptive Management
Administration
Artificial intelligence
Budgeting
Curriculum Development
Effective Leadership
Experiential Learning
Pedagogy
People Management Skill
Earn certifications in these skills
Learn AI Image Generation
Learn AI Video Generation
Learn AI Voiceover
Learn AI Voiceover
Learn Artificial intelligence
Learn Cursor (GenAI)
Learn Deep Learning
Learn Elevenlabs (GenAI)
Learn Feature Engineering
Learn Generative AI Development
Learn GitHub Copilot (GenAI)
Learn HeyGen (GenAI)
Learn LLMOps
Learn Lovable (GenAI)
Learn Machine Learning
Learn MidJourney (GenAI)
Learn Model Fine-tuning
Learn Model fine-tuning
Learn NLP
Learn Replit (GenAI)
Learn Supervised Learning
Learn Unsupervised Learning
Learn Vibe Coding
Learn Windsurf (GenAI)","Only those candidates can apply who:

1. have minimum 18 years of experience",Min Education: Masters/Post-Graduation,"Annual CTC: ₹ 12,00,000 - 15,00,000 /year"
Senior Java Software Engineer,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 12,00,000 - 15,00,000 /year"
Senior Software Developer (Python + GenAI),NULL,NULL,NULL,NULL,"Annual CTC: ₹ 12,00,000 - 14,40,000 /year"
Control-M Senior Developer,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 12,00,000 - 14,40,000 /year"
"Snowflake Developer (Python, SQL, Snowpark)",NULL,NULL,NULL,NULL,"Annual CTC: ₹ 12,00,000 - 14,40,000 /year"
Accountant,"Key Responsibilities:

1. Manage daily operational expenses and coordinate reimbursements.
2. Handle distributor/stockist communication and order coordination.
3. Assist in monitoring sales team performance (MRs & Area Managers).
4. Maintain and track Daily Call Reports (DCR) & sales dashboards.
5. Support HR functions: hiring, onboarding, employee coordination.
6. Prepare and circulate official communications (memos, warning mails, reporting updates).
7. Maintain and update ledger, and purchase/sales books

Training & Onboarding:
A 1-month structured training and learning program will be provided.","Accounting
English Proficiency (Spoken)
Human Resources
MS-Excel
MS-Office
Zoho Books
Earn certifications in these skills
Learn Employee Relations
Learn Business Communication
Learn HR Analytics
Learn HR policies
Learn HRIS
Learn Human Resources
Learn MS-Excel
Learn Recruitment
Learn Talent Management
Learn Tally","Only those candidates can apply who:

1. have minimum 1 years of experience

2. are from Nagpur only","1. Graduate in Commerce/Management (preferred: Pharma/Healthcare background).

2. Strong organizational and communication skills.

3. Proficiency in MS Excel/Google Sheets, Email drafting, and reporting tools.

4. Ability to multitask and coordinate with multiple departments.

5. 1 year of experience is preferred (Freshers with strong skills can also apply).","Annual CTC: ₹ 12,00,000 /year"
Telesales Executive,"As a Telesales Executive at RCPC Company, you will be a crucial member of our dynamic sales team, responsible for driving revenue growth and building strong relationships with our clients. Your role will involve engaging with potential customers over the phone, showcasing our products and services, and closing sales to meet targets.

Key Responsibilities:

1. Conduct outbound calls to prospective customers and effectively communicate the benefits of our products.
2. Build and maintain strong relationships with clients by providing exceptional customer service and addressing their needs promptly.
3. Meet and exceed sales targets by converting leads into sales opportunities through persuasive communication.
4. Keep accurate records of all interactions with clients and update the CRM system regularly to track progress.
5. Collaborate with the sales team to strategize and optimize sales techniques and approaches.
6. Continuously improve product knowledge and stay updated on industry trends to effectively pitch to clients.
7. Provide feedback to the management team on market trends and customer preferences to enhance sales strategies.

If you are a motivated and results-driven individual with excellent communication skills and a passion for sales, this role is perfect for you. Join our team at RCPC Company and take your career to new heights!","Effective Communication
Earn certifications in these skills
Learn Effective Communication
Learn Business Communication
Learn Digital Marketing
Learn Business Analytics",NULL,NULL,"Annual CTC: ₹ 12,00,000 /year

Perks
5 days a week"
Junior Social Media Marketing Executive - Fresher,"Note: Shortlisted candidates need to download 'Banza App' on the Play Store or App Store to prepare for the next round. https://link3.to/banza)

Key Responsibilities:

1. Serve as our in-house content creator, producing everything from engaging Reels and memes to any creative concepts your imagination inspires.
2. Drive Banza's presence on LinkedIn and X (Twitter), actively ensuring our brand is visible and participating in conversations that matter.
3. Stay on top of the latest trends and cultural moments, constantly evaluating opportunities for Banza to participate, engage, and stand out.
4. Play a pivotal role in our creator collaborations, user-generated content, and wider growth initiatives, while shaping the creative vision with a boundary-pushing, innovative approach.
5. Embrace new challenges daily, tackling dynamic projects that align with Banza's broader growth strategy and keep our brand fresh and agile.",NULL,NULL,"1. Budding content creator, or have basic editing skillsets.

2. Has presence and/or experience on X as a platform.","Annual CTC: ₹ 11,99,999 - 12,00,000 /year

Perks
5 days a week"
Telecaller - Fresher,"As a Telecaller at EquiFolio Business Solutions, you will have the opportunity to showcase your excellent English and Hindi proficiency while engaging with potential clients and promoting our services. Your role will involve making outbound calls to prospects, providing information about our products, and persuading them to consider our offerings. Your enthusiasm and communication skills will be crucial in converting leads into customers.

Key Responsibilities:

1. Make outbound calls to potential clients and engage in meaningful conversations
2. Explain the benefits of our products and services in a clear and concise manner
3. Identify customer needs and suggest appropriate solutions
4. Maintain a database of leads and follow up with them regularly
5. Achieve daily, weekly, and monthly targets set by the company
6. Provide excellent customer service and address any queries or concerns
7. Work closely with the sales team to ensure customer satisfaction and maximize sales opportunities

If you have a passion for sales, strong language skills, and a desire to succeed in a fast-paced environment, then this role is perfect for you. Join EquiFolio Business Solutions and be part of a dynamic team that values hard work and dedication. Apply now and take your career to new heights!","English Proficiency (Spoken)
Hindi Proficiency (Spoken)
Earn certifications in these skills
Learn Business Communication
Learn Digital Marketing
Learn Business Analytics","Only those candidates can apply who:

1. are from Karnal only",Visa Counseling Experience,"Probation: 
Duration: 3 months
Salary during probation: ₹10,000 - 12,000 /month (only for freshers)
After probation:

Annual CTC: ₹ 11,80,000 - 23,00,000 /year

Annual CTC breakup:

1. Fixed pay: ₹ 1,80,000 - 3,00,000 /year

2. Variable pay: ₹ 10,00,000 - 20,00,000 /year

Perks
Free snacks & beverages"
Digital Marketing Specialist - Fresher,"Key responsibilities:

1. Promoting online degree programs (MBA, BBA, MCA, etc.) from IITs, IIMs & reputed universities through social media and digital marketing activities.
2. Creating and sharing engaging content (posts, stories, reels, blogs) to attract and engage students & professionals.
3. Running campaigns within their own networks, WhatsApp groups, LinkedIn, Instagram, and other platforms to generate leads.
4. Tracking responses, sharing reports, and optimizing strategies for better performance.
5. Coordinating with the RiseUpp team for guidance, resources, and updates.",NULL,NULL,"1. Candidates with prior experience in social media promotion, campus ambassadorship, or digital marketing will be preferred.

2. Strong communication skills and ability to build engagement online.

3. Students with active social media presence (Instagram, LinkedIn, YouTube, or WhatsApp networks) will have an advantage.

4. Passion for education, EdTech, and helping students make the right career choices.","Annual CTC: ₹ 11,00,000 - 20,00,000 /year

Annual CTC breakup:

1. Fixed pay: ₹ 5,00,000 /year

2. Variable pay: ₹ 6,00,000 - 15,00,000 /year

Perks
5 days a week"
D365 F & O Security & Environment Support,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 11,00,000 - 16,00,000 /year"
D365 F & O Security & Environment Support,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 11,00,000 - 16,00,000 /year"
Mobile Security Researcher,"As a Mobile Security Researcher at Grozoom Ventures Technology Private Limited, you will have the exciting opportunity to work on cutting-edge projects and make a real impact in the cybersecurity field. Utilizing your expertise in Java, Kotlin, Python, C Programming, C++ Programming, ARM Assembly, and HTTP, you will play a crucial role in enhancing the security of our mobile applications.

Key responsibilities:

1. Conduct in-depth security assessments of mobile applications to identify vulnerabilities and recommend solutions for mitigation.
2. Develop and implement secure coding practices and protocols to protect sensitive data and prevent unauthorized access.
3. Collaborate with cross-functional teams to integrate security measures into the software development lifecycle.
5. Perform penetration testing and vulnerability assessments to ensure the integrity and confidentiality of our mobile applications.
6. Provide technical guidance and support to internal teams on security best practices and risk mitigation strategies.
7. Participate in security incident response activities and contribute to the ongoing improvement of our security posture.
8. Decrypt XOR-obfuscated protobuf parameters in Android APK
9. Analyze 100+ protobuf fields and generation logic
10. Reverse manufacturer-specific device fingerprinting","ARM Microcontroller
Assembly
C++ Programming
C Programming
HTTP
Java
Kotlin
Python
Earn certifications in these skills
Learn C Programming
Learn C++ Programming
Learn Java
Learn Kotlin
Learn Python","Only those candidates can apply who:

1. have minimum 1 years of experience","1. Mobile app security expertise

2. Academic mobile security research

3. Device risk assessment Analysis","Annual CTC: ₹ 10,80,000 - 11,40,000 /year

Annual CTC breakup:

1. Fixed pay: ₹ 7,80,000 - 8,40,000 /year

2. Variable pay: ₹ 3,00,000 /year"
Curriculum & Instruction Head Bahadurgarh,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 10,80,000 - 11,40,000 /year"
Business Engagement Leader – Interior Projects,"Key Responsibilities:

1. Respond to and qualify all inbound leads within 24 hours
2. Conduct virtual/physical meetings, product demos & technical discussions
3. Build custom quotations using pre-set templates
4. Negotiate and close deals worth 30 Lacs/month
5. Visit A & A+ category architects and procurement heads
6. Maintain CRM hygiene and lead trackers across platforms (Zoho, Notion, Sheets)
7. Collaborate with marketing to re-target dormant leads
8. Submit daily sales reports and weekly performance updates","Budget Management
Client Relationship Management (CRM)
Customer Acquisition
Effective Communication
Inside Sales
Interior design
Negotiation
Sales
Earn certifications in these skills
Learn AutoCAD
Learn Autodesk Inventor
Learn Effective Communication","Only those candidates can apply who:

1. have minimum 1 years of experience","1. Candidates with prior interior sales or architectural product sales experience are preferred

2. Must be open to Mumbai-based field visits (2–3/week)

3. Background in civil/interior or architecture education is a plus

4. Strong follow-up culture- we mean 15+ follow-ups/day kind","Annual CTC: ₹ 10,20,000 - 19,20,000 /year

Annual CTC breakup:

1. Fixed pay: ₹ 4,20,000 - 7,20,000 /year

2. Variable pay: ₹ 6,00,000 - 12,00,000 /year

Perks
Informal dress code
5 days a week
Cab/Transportation facility
Health Insurance
Life Insurance"
Store Manager,"Key responsibilities:

1. Drive sales and team management
2. SOP & Training adherence
3. Inventory Management
4. Drive in-store events
5. Customer Relationship Management
6, Operations and report as per company guidelines","Client Relationship Management (CRM)
Inventory Management
Merchandising
Operations
Sales Management
Earn certifications in these skills
Learn Business Communication
Learn Digital Marketing
Learn Business Analytics","Only those candidates can apply who:

1. have minimum 1 years of experience

2. are from Hyderabad only",Worked in Indian designers background or luxury brands in Hyderabad and knows the clients,"Annual CTC: ₹ 10,20,000 - 11,80,000 /year

Annual CTC breakup:

1. Fixed pay: ₹ 9,00,000 - 10,00,000 /year

2. Variable pay: ₹ 1,20,000 - 1,80,000 /year"
Playwrights - The AI Decrypter DJ - Fresher,"Key responsibilities:

1. Composing music through business communications (playwrights notes science).
2. Mixing notes to generate non-biometric signals to shut down biometric navigation of money induced sales (playwrights grievances governance).
3. Legal knowledge of music industry to decrypt, rewrite and assign management commentaries over GrotesQue index to acquire companies in one orchestra rally (playwrights club anthem grotesque lyrics notes).",NULL,NULL,"1. HRM who can hire/fire by facial expressions as grotesque portfolio.

2. Finance and M&As specialist is a plus.

3. Must have rooted interest in music to terminate deep musical notes for collective well-being by composing scientific lyrics as management commentaries in stock market.","Annual CTC: ₹ 10,10,000 - 13,00,000 /year

Annual CTC breakup:

1. Fixed pay: ₹ 9,60,000 - 12,00,000 /year

2. Variable pay: ₹ 50,000 - 1,00,000 /year"
Senior Human Resources Manager For School - Female Candidates,"Role: Human Resources Manager for SchoolThe Human Resources Manager for School plays a pivotal role in fostering a positive and productive educational environment. This position is essential for driving collaboration among staff, enhancing growth opportunities for both employees and students, and promoting innovative practices within the institution. The HR Manager will work closely with various departments to ensure that the school's human resources strategies align with its mission and goals.Roles and Responsibilities:Recruitment & Talent AcquisitionDevelop and implement effective recruitment strategies to attract and retain top teaching and non-teaching talent.Manage the end-to-end recruitment process including profile sourcing, screening, interviewing, and posting.Maintain a comprehensive data bank of potential candidates for future requirements.Ensure a smooth onboarding and relieving process for all employees.HR Operations & AdministrationManage payroll, attendance, and leave administration efficiently.Maintain accurate employee records and ensure data confidentiality.Oversee employee documentation and compliance with statutory requirements.Employee Engagement & RelationsDevelop HR strategies that support the schools objectives and foster a positive workplace culture.Address employee concerns and facilitate conflict resolution and mediation.Conduct periodic school experience sessions to strengthen employee alignment with institutional values.Performance Management & DevelopmentConduct performance evaluations and provide guidance on career growth.Design and deliver training programs that support professional development of staff in line with educational standards.Support leadership in succession planning and staff development initiatives.Policy & ComplianceEnsure compliance with labor laws, regulations, and HR best practices.Collaborate with school leadership to develop and implement HR policies that promote a safe, inclusive, and effective learning environment.Strategic HR & AnalyticsAnalyze HR metrics and prepare reports to support data-driven decision-making.Implement innovative HR technologies to streamline processes and enhance employee experience.Qualifications and Skills:Bachelor's degree in Human Resources, Business Administration, or a related field; a Master's degree is a plus.Proven experience in human resources management, preferably in an educational setting.Strong knowledge of labor laws and regulations relevant to the education sector.Excellent interpersonal and communication skills, with the ability to build relationships at all levels.Demonstrated leadership qualities and the ability to inspire and motivate a diverse team.Proficiency in HR software and tools, with a focus on data analysis and reporting.Strong problem-solving skills and the ability to handle sensitive situations with discretion.Commitment to fostering an inclusive and equitable workplace.Ability to adapt to changing environments and embrace innovative HR practices.Certification from a recognized HR body (e.g., SHRM, HRCI) is highly desirable.",Non Teaching,"Only those candidates can apply who:

1. have minimum 6 years of experience",Min Education: Graduation/Diploma,"Annual CTC: ₹ 10,08,000 - 12,60,000 /year"
Oracle Solution Architect,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 10,00,000 - 30,00,000 /year"
Japanese-N1-Account Manager--WFH,NULL,NULL,NULL,NULL,"WILL BE DISCUSS DURING INTERVIEW
INTERESTED APPLICANT
JUST SEND:
Name:
phone:
Email:
no fees no charges
Earn certifications in these skills
Learn Business Communication
Learn Business Analytics

Who can apply

Only those candidates can apply who:

1. have minimum 1 years of experience

Salary

Annual CTC: ₹ 10,00,000 - 30,00,000 /year"
JAPANESE(N1 /N2) With CRM Profile WFH,NULL,NULL,NULL,NULL,"WILL BE DISCUSS DURING INTERVIEW
INTERESTED APPLICANT
JUST SEND:
Name:
phone:
Email:
no fees no charges
Earn certifications in these skills
Learn Business Communication
Learn Digital Marketing
Learn Business Analytics

Who can apply

Only those candidates can apply who:

1. have minimum 1 years of experience

Salary

Annual CTC: ₹ 10,00,000 - 30,00,000 /year"
JAPANESE Expert With CRM Software Exp WFH,NULL,NULL,NULL,NULL,"WILL BE DISCUSS DURING INTERVIEW
INTERESTED APPLICANT
JUST SEND:
Name:
phone:
Email:
no fees no charges
Earn certifications in these skills
Learn Business Communication
Learn Digital Marketing
Learn Business Analytics

Who can apply

Only those candidates can apply who:

1. have minimum 1 years of experience

Salary

Annual CTC: ₹ 10,00,000 - 30,00,000 /year"
Project Manager,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 10,00,000 - 30,00,000 /year"
Japanese-N1- Security/Sales Force -REMOTE,NULL,NULL,NULL,NULL,"WILL BE DISCUSS DURING INTERVIEW
INTERESTED APPLICANT
JUST SEND:
Name:
phone:
Email:
no fees no charges
Earn certifications in these skills
Learn VLSI
Learn Arduino
Learn VLSI Design
Learn PCB Design
Learn Embedded Systems
Learn Cloud Computing
Learn Andoid App Developement
Learn Data Structures & Algorithms
Learn SAS Programming
Learn SQL for Data Analytics
Learn Business Communication
Learn Web Development
Learn Web development
Learn Vibe Coding
Learn Android App Development
Learn Machine Learning
Learn Natural Language Processing
Learn Angular
Learn Data Science
Learn Power BI
Learn Clinical Trial Analysis & Reporting
Learn Full Stack Development
Learn AR/VR
Learn Git & Github
Learn Internet of Things
Learn Artificial intelligence
Learn Nodejs
Learn React
Learn Software development
Learn WordPress
Learn Ethical Hacking

Who can apply

Only those candidates can apply who:

1. have minimum 1 years of experience

Salary

Annual CTC: ₹ 10,00,000 - 25,00,000 /year"
Japanese-N1- LINUX -Commands -REMOTE,NULL,NULL,NULL,NULL,"WILL BE DISCUSS DURING INTERVIEW
INTERESTED APPLICANT
JUST SEND:
Name:
phone:
Email:
no fees no charges
Earn certifications in these skills
Learn VLSI
Learn Arduino
Learn VLSI Design
Learn PCB Design
Learn Embedded Systems
Learn Cloud Computing
Learn Andoid App Developement
Learn Data Structures & Algorithms
Learn SAS Programming
Learn SQL for Data Analytics
Learn Business Communication
Learn Web Development
Learn Web development
Learn Vibe Coding
Learn Android App Development
Learn Machine Learning
Learn Natural Language Processing
Learn Angular
Learn Data Science
Learn Power BI
Learn Clinical Trial Analysis & Reporting
Learn Full Stack Development
Learn AR/VR
Learn Git & Github
Learn Internet of Things
Learn Artificial intelligence
Learn Nodejs
Learn React
Learn Software development
Learn WordPress
Learn Ethical Hacking

Who can apply

Only those candidates can apply who:

1. have minimum 1 years of experience

Salary

Annual CTC: ₹ 10,00,000 - 25,00,000 /year"
SAP Project Manager,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 10,00,000 - 25,00,000 /year"
Japanese Expert- Security/Sales Force -REMOTE,NULL,NULL,NULL,NULL,"WILL BE DISCUSS DURING INTERVIEW
INTERESTED APPLICANT
JUST SEND:
Name:
phone:
Email:
no fees no charges
Earn certifications in these skills
Learn VLSI
Learn Arduino
Learn VLSI Design
Learn PCB Design
Learn Embedded Systems
Learn Cloud Computing
Learn Andoid App Developement
Learn Data Structures & Algorithms
Learn SAS Programming
Learn SQL for Data Analytics
Learn Business Communication
Learn Web Development
Learn Web development
Learn Vibe Coding
Learn Android App Development
Learn Machine Learning
Learn Natural Language Processing
Learn Angular
Learn Data Science
Learn Power BI
Learn Clinical Trial Analysis & Reporting
Learn Full Stack Development
Learn AR/VR
Learn Git & Github
Learn Internet of Things
Learn Artificial intelligence
Learn Nodejs
Learn React
Learn Software development
Learn WordPress
Learn Ethical Hacking

Who can apply

Only those candidates can apply who:

1. have minimum 1 years of experience

Salary

Annual CTC: ₹ 10,00,000 - 25,00,000 /year"
Japanese Expert LINUX -Commands -REMOTE,NULL,NULL,NULL,NULL,"WILL BE DISCUSS DURING INTERVIEW
INTERESTED APPLICANT
JUST SEND:
Name:
phone:
Email:
no fees no charges
Earn certifications in these skills
Learn VLSI
Learn Arduino
Learn VLSI Design
Learn PCB Design
Learn Embedded Systems
Learn Cloud Computing
Learn Andoid App Developement
Learn Data Structures & Algorithms
Learn SAS Programming
Learn SQL for Data Analytics
Learn Business Communication
Learn Web Development
Learn Web development
Learn Vibe Coding
Learn Android App Development
Learn Machine Learning
Learn Natural Language Processing
Learn Angular
Learn Data Science
Learn Power BI
Learn Clinical Trial Analysis & Reporting
Learn Full Stack Development
Learn AR/VR
Learn Git & Github
Learn Internet of Things
Learn Artificial intelligence
Learn Nodejs
Learn React
Learn Software development
Learn WordPress
Learn Ethical Hacking

Who can apply

Only those candidates can apply who:

1. have minimum 1 years of experience

Salary

Annual CTC: ₹ 10,00,000 - 25,00,000 /year"
Japanese Expert (AWS / AZURE / Openstack)-REMOTE,NULL,NULL,NULL,NULL,"WILL BE DISCUSS DURING INTERVIEW
INTERESTED APPLICANT
JUST SEND:
Name:
phone:
Email:
no fees no charges
Earn certifications in these skills
Learn VLSI
Learn Arduino
Learn VLSI Design
Learn PCB Design
Learn Embedded Systems
Learn Cloud Computing
Learn Andoid App Developement
Learn Data Structures & Algorithms
Learn SAS Programming
Learn SQL for Data Analytics
Learn Business Communication
Learn Web Development
Learn Web development
Learn Vibe Coding
Learn Android App Development
Learn Machine Learning
Learn Natural Language Processing
Learn Angular
Learn Data Science
Learn Power BI
Learn Clinical Trial Analysis & Reporting
Learn Full Stack Development
Learn AR/VR
Learn Git & Github
Learn Internet of Things
Learn Artificial intelligence
Learn Nodejs
Learn React
Learn Software development
Learn WordPress
Learn Ethical Hacking

Who can apply

Only those candidates can apply who:

1. have minimum 1 years of experience

Salary

Annual CTC: ₹ 10,00,000 - 25,00,000 /year"
SAP E-Invoicing Consultant,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 10,00,000 - 20,00,000 /year"
Oncology Lead Nurse - Mumbai,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 10,00,000 - 19,00,000 /year"
DevOps Engineer,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 10,00,000 - 19,00,000 /year"
Senior Operations Manager,"As overall in charge of operations, you will be responsible for maintaining the standard of service delivery, levels of productivity, leadership of the team, and P&L responsibility. The role includes market analysis, competitive analysis, marketing sizing, vendor relationships, client relationships, team management, and category merchandising. Detailed view of the operations and your responsibility.

Key Responsibilities:

1. Work on the overall management.
2. Support & guide the teams engaged in soliciting outbound travelling clients, making and pricing crafted itineraries, bookings of hotels, transport, sightseeing, etc, and providing 24x7 support to travelling clients
3. Research various destinations, modes of travel, prices, customs, weather conditions, reviews, etc.
4. Diagnose the clients' specifications and wishes and suggest suitable travel packages or services
5. Organize travels from beginning to end, through booking tickets and accommodation, securing rental transportation, etc.
6. Supply travelers with pertinent information and useful travel/holiday material (guides, maps, event programs, etc.)
7. Collect deposits and balances.
8. Use promotional techniques and prepare promotional materials to sell itinerary tour packages.
8. Create and update electronic records of clients
9. Maintain relationships with key persons","Analytical Thinking
Collaboration
Computer skills
Conflict Management
Digital Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Leadership
Operations
Problem Solving
Strategy
Team Management
Vendor Management
Earn certifications in these skills
Learn Business Communication
Learn Email Marketing
Learn Facebook Marketing
Learn Google AdWords
Learn MS-Excel
Learn Search Engine Marketing
Learn SEO
Learn Social Media Marketing
Learn Leadership
Learn Problem Solving","Only those candidates can apply who:

1. have minimum 1 years of experience","1. Experience in travelling through Europe (backpacking trips or as exchange students, etc.)

2. Two years of experience in a managerial position

3. Highly developed skills for problem-solving and strategic thinking

4. Handling end-to-end category management with full P&L responsibility

5. A B.Tech or MBA from a top-tier school only needs to apply

6. Prior experience in competitive analysis and pricing is preferred

7. Excellent communication skills are a must

8. Proficiency in English; knowledge of additional languages is an advantage

9. Exemplary customer-oriented approach

10. Prior experience in the E-Commerce industry is preferred

11. Prior experience in marketing and merchandising preferred

12. Excellent grip on numbers and goals

13. Attention to detail

14. Ability to collaborate across departments

15. Result-oriented and ready to take ownership

16. Desire to make an impact and a high work ethic

17. This role requires working directly with the senior management team","Annual CTC: ₹ 10,00,000 - 18,00,000 /year

Perks
Informal dress code"
SAP Ariba,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 10,00,000 - 18,00,000 /year"
